sentence,label
"Công ty BU công bố chiến lược phát triển bền vững giai đoạn 2025-2030.",neutral
"Doanh nghiệp BV hợp tác với cơ quan chức năng trong công tác kiểm tra môi trường.",neutral
"Công ty BW báo cáo kết quả thực hiện mục tiêu ESG năm 2024.",neutral
"Doanh nghiệp BX phát hành tài liệu hướng dẫn về chính sách ESG.",neutral
"Công ty BY áp dụng hệ thống chiếu sáng tiết kiệm năng lượng cho toàn bộ nhà máy.",positive
"Doanh nghiệp BZ tăng cường chính sách bảo vệ sức khỏe nhân viên.",positive
"Tập đoàn CA triển khai chương trình giáo dục môi trường cho học sinh địa phương.",positive
"Công ty CB đạt chứng nhận về chống tham nhũng quốc tế.",positive
"Doanh nghiệp CC hỗ trợ vốn vay ưu đãi cho dự án nông nghiệp bền vững.",positive
"Công ty CD xây dựng khuôn viên xanh trong khu công nghiệp.",positive
"Tập đoàn CE tổ chức ngày hội trồng cây gây rừng trên toàn quốc.",positive
"Công ty CF tăng đầu tư vào hệ thống lọc khí thải.",positive
"Doanh nghiệp CG tặng quà cho gia đình khó khăn trong mùa dịch.",positive
"Công ty CH thực hiện kiểm toán nội bộ định kỳ nhằm nâng cao minh bạch.",positive
"Doanh nghiệp CI mở rộng chương trình bảo hiểm sức khỏe cho nhân viên.",positive
"Công ty CJ phát động chiến dịch tiết kiệm điện năng.",positive
"Tập đoàn CK hợp tác với tổ chức quốc tế về quản lý chất thải.",positive
"Doanh nghiệp CL khen thưởng nhân viên có sáng kiến bảo vệ môi trường.",positive
"Công ty CM xây dựng hệ thống thu gom nước mưa tại nhà máy.",positive
"Tập đoàn CN nâng cấp quy trình sản xuất thân thiện với môi trường.",positive
"Doanh nghiệp CO tăng ngân sách đào tạo phòng chống quấy rối.",positive
"Công ty CP áp dụng các tiêu chuẩn quốc tế về an toàn lao động.",positive
"Tập đoàn CQ phát triển sản phẩm thân thiện môi trường.",positive
"Doanh nghiệp CR thúc đẩy hợp tác cộng đồng tại vùng dự án.",positive
"Công ty CS công bố chính sách không sử dụng nhựa một lần.",positive
"Doanh nghiệp CT hỗ trợ xây dựng trường học tại vùng sâu vùng xa.",positive
"Công ty CU tăng tỷ lệ nhân viên khuyết tật trong lực lượng lao động.",positive
"Tập đoàn CV đảm bảo quyền lợi bình đẳng cho tất cả nhân viên.",positive
"Doanh nghiệp CW triển khai hệ thống kiểm soát phát thải tự động.",positive
"Công ty CX thực hiện phân loại rác thải tại nguồn.",positive
"Tập đoàn CY tài trợ dự án nghiên cứu năng lượng sạch.",positive
"Doanh nghiệp CZ ký cam kết không xả thải ra môi trường.",positive
"Công ty DA tổ chức lớp học nâng cao ý thức bảo vệ động vật hoang dã.",positive
"Tập đoàn DB đạt giải thưởng quốc tế về trách nhiệm xã hội.",positive
"Công ty DC cam kết giảm sử dụng hóa chất độc hại.",positive
"Doanh nghiệp DD hỗ trợ nhân viên vượt qua đại dịch COVID-19.",positive
"Công ty DE áp dụng hệ thống quản lý môi trường ISO 14001.",positive
"Doanh nghiệp DF tăng cường phối hợp với chính quyền địa phương về an toàn công trình.",positive
"Công ty DG phát động phong trào đi làm bằng phương tiện công cộng.",positive
"Tập đoàn DH phát triển giải pháp tiết kiệm nước cho sản xuất.",positive
"Doanh nghiệp DI tổ chức chương trình hiến máu nhân đạo định kỳ.",positive
"Công ty DJ cung cấp dịch vụ chăm sóc sức khỏe miễn phí cho cộng đồng.",positive
"Tập đoàn DK phát triển công nghệ giảm thiểu khí thải CO2.",positive
"Công ty DL tham gia sáng kiến quốc tế về bảo vệ rừng.",positive
"Doanh nghiệp DM hỗ trợ học phí cho con em công nhân.",positive
"Công ty DN bị phát hiện xả nước thải chưa qua xử lý ra sông.",negative
"Doanh nghiệp DO bị xử phạt do gây ô nhiễm không khí nghiêm trọng.",negative
"Tập đoàn DP bị tố cáo bóc lột sức lao động trẻ em.",negative
"Công ty DQ không đảm bảo quyền lợi cho nhân viên nghỉ thai sản.",negative
"Doanh nghiệp DR vi phạm quy định về an toàn thực phẩm.",negative
"Công ty DS bị chỉ trích vì không minh bạch trong báo cáo ESG.",negative
"Tập đoàn DT bị đình chỉ hoạt động do không tuân thủ quy định môi trường.",negative
"Doanh nghiệp DU gặp bê bối gian lận số liệu phát thải.",negative
"Công ty DV bị phạt vì không công khai thông tin rủi ro xã hội.",negative
"Doanh nghiệp DW thiếu chính sách bảo vệ người tố cáo nội bộ.",negative
"Tập đoàn DX không có kế hoạch bảo vệ đa dạng sinh học.",negative
"Công ty DY bị phản ánh về điều kiện làm việc nguy hiểm.",negative
"Doanh nghiệp DZ không hỗ trợ tài chính cho cộng đồng bị ảnh hưởng bởi dự án.",negative
"Công ty EA bị phát hiện sử dụng vật liệu độc hại trong sản xuất.",negative
"Doanh nghiệp EB bị khách hàng khiếu nại về sản phẩm gây hại sức khỏe.",negative
"Tập đoàn EC không thực hiện kiểm toán độc lập về môi trường.",negative
"Công ty ED bị xử lý vì vi phạm quy định an toàn lao động.",negative
"Doanh nghiệp EE trì hoãn công bố báo cáo tác động xã hội.",negative
"Công ty EF bị kiện vì xâm phạm quyền lợi người tiêu dùng.",negative
"Tập đoàn EG bị phạt vì không tuân thủ quy định phòng cháy chữa cháy.",negative
"Doanh nghiệp EH không tham gia chương trình giảm rác thải nhựa.",negative
"Công ty EI bị cáo buộc phân biệt đối xử trong tuyển dụng.",negative
"Doanh nghiệp EJ bị xử phạt do không kiểm soát phát thải khí nhà kính.",negative
"Công ty EK không công khai thông tin về sử dụng nguồn nước.",negative
"Tập đoàn EL bị phát hiện gian lận trong chấm công.",negative
"Doanh nghiệp EM không đảm bảo an toàn cho công nhân làm việc trên cao.",negative
"Công ty EN bị xử lý vì không tuân thủ quy định bảo vệ dữ liệu cá nhân.",negative
"Tập đoàn EO bị chỉ trích vì không hỗ trợ phát triển cộng đồng.",negative
"Doanh nghiệp EP không có chương trình đào tạo về đạo đức kinh doanh.",negative
"Công ty EQ trì hoãn kế hoạch giảm tiêu thụ điện năng.",negative
"Doanh nghiệp ER bị phản ánh về việc sử dụng vật liệu không thân thiện môi trường.",negative
"Công ty ES không có chính sách đảm bảo an ninh mạng.",negative
"Tập đoàn ET bị xử phạt do xả thải vượt quy chuẩn.",negative
"Doanh nghiệp EU không tuân thủ quy định về lương tối thiểu.",negative
"Công ty EV bị phát hiện làm giả hồ sơ môi trường.",negative
"Tập đoàn EW trì hoãn triển khai dự án năng lượng sạch.",negative
"Công ty EX bị chỉ trích vì thiếu minh bạch trong quản trị.",negative
"Doanh nghiệp EY không hỗ trợ nhân viên trong đại dịch.",negative
"Công ty EZ bị tố cáo lạm dụng lao động thời vụ.",negative
"Tập đoàn FA gặp sự cố tràn chất thải ra môi trường.",negative
"Công ty FB không tham gia chương trình tiết kiệm nước quốc gia.",negative
"Doanh nghiệp FC bị cảnh báo về mức phát thải bụi mịn vượt chuẩn.",negative
"Công ty FD bị khiếu nại về điều kiện làm việc không an toàn.",negative
"Tập đoàn FE không tuân thủ quy định về bảo vệ động vật hoang dã.",negative
"Công ty FF bị điều tra vì gian lận báo cáo bền vững.",negative
"Doanh nghiệp FG không có chính sách bảo vệ quyền lợi người tiêu dùng.",negative
"Công ty FH bị xử phạt vì không báo cáo phát thải định kỳ.",negative
"Tập đoàn FI không công khai quy trình thu gom chất thải.",negative
"Doanh nghiệp FJ bị phản ánh về lãng phí tài nguyên.",negative
"Công ty FK không có chương trình hỗ trợ tài chính cho người lao động.",negative
"Tập đoàn FL bị xử lý do vi phạm quy định về tiếng ồn.",negative
"Công ty FM chưa công bố mục tiêu giảm phát thải khí nhà kính.",neutral
"Doanh nghiệp FN tổ chức hội nghị về quản trị doanh nghiệp.",neutral
"Tập đoàn FO cập nhật danh sách đối tác trong báo cáo ESG.",neutral
"Công ty FP khảo sát mức độ hài lòng của khách hàng.",neutral
"Doanh nghiệp FQ công bố kế hoạch phát triển bền vững trung hạn.",neutral
"Công ty FR tổ chức lớp đào tạo về an toàn thực phẩm.",neutral
"Tập đoàn FS ghi nhận số liệu về tiêu thụ năng lượng trong báo cáo.",neutral
"Doanh nghiệp FT thử nghiệm hệ thống xử lý khí thải mới.",neutral
"Công ty FU báo cáo tình hình thực hiện mục tiêu ESG năm nay.",neutral
"Tập đoàn FV tiến hành đánh giá tác động môi trường cho dự án mới.",neutral
"Công ty FW công bố thay đổi cơ cấu ban lãnh đạo.",neutral
"Doanh nghiệp FX tổ chức tọa đàm về phát triển cộng đồng.",neutral
"Công ty FY cập nhật số liệu về lượng rác thải tái chế.",neutral
"Tập đoàn FZ lập kế hoạch hỗ trợ giáo dục cho trẻ em nghèo.",neutral
"Công ty GA báo cáo kết quả kiểm toán tài chính năm 2024.",neutral
"Doanh nghiệp GB nghiên cứu áp dụng tiêu chuẩn quốc tế về môi trường.",neutral
"Công ty GC triển khai khảo sát rủi ro tác động xã hội.",neutral
"Tập đoàn GD tổ chức sự kiện truyền thông về tiết kiệm năng lượng.",neutral
"Công ty GE ghi nhận ý kiến phản hồi của cổ đông về quản trị.",neutral
"Doanh nghiệp GF thử nghiệm mô hình hợp tác công - tư về môi trường.",neutral
"Công ty GG công bố chương trình đào tạo nhân sự mới.",neutral
"Tập đoàn GH cập nhật thông tin về dự án năng lượng mặt trời.",neutral
"Công ty GI tổ chức hội thảo trực tuyến về ESG.",neutral
"Doanh nghiệp GJ phát hành báo cáo cập nhật về đa dạng giới.",neutral
"Công ty GK đầu tư vào hệ thống năng lượng mặt trời trên mái nhà.",positive
"Doanh nghiệp GL phát triển sản phẩm thân thiện với môi trường.",positive
"Tập đoàn GM tổ chức chương trình chăm sóc sức khỏe định kỳ cho nhân viên.",positive
"Công ty GN hợp tác với tổ chức phi lợi nhuận về bảo vệ thiên nhiên.",positive
"Doanh nghiệp GO áp dụng chính sách không sử dụng nhựa dùng một lần.",positive
"Công ty GP xây dựng khu liên hợp xử lý chất thải hiện đại.",positive
"Tập đoàn GQ tăng ngân sách cho hoạt động phát triển cộng đồng.",positive
"Doanh nghiệp GR đạt chứng nhận ISO về an toàn lao động.",positive
"Công ty GS tôn vinh nhân viên có sáng kiến đổi mới vì môi trường.",positive
"Tập đoàn GT tài trợ chương trình giáo dục cho trẻ em gái vùng sâu.",positive
"Công ty GU cải tiến quy trình sản xuất để giảm tiêu hao nước.",positive
"Doanh nghiệp GV công bố chính sách hỗ trợ phụ nữ mang thai.",positive
"Tập đoàn GW phát động chiến dịch đi bộ bảo vệ sức khỏe.",positive
"Công ty GX đạt giải thưởng quốc gia về phát triển bền vững.",positive
"Doanh nghiệp GY tổ chức lớp học nâng cao nhận thức về biến đổi khí hậu.",positive
"Công ty GZ hỗ trợ xây nhà cho người lao động có hoàn cảnh khó khăn.",positive
"Tập đoàn HA hợp tác với trường đại học nghiên cứu công nghệ xanh.",positive
"Doanh nghiệp HB cung cấp dịch vụ khám sức khỏe miễn phí cho cộng đồng.",positive
"Công ty HC đầu tư phát triển hệ thống giao thông xanh.",positive
"Tập đoàn HD triển khai chương trình thu gom pin đã qua sử dụng.",positive
"Doanh nghiệp HE bị phát hiện xả thải vượt quy chuẩn ra môi trường.",negative
"Công ty HF không đảm bảo quyền lợi cho nhân viên làm việc ngoài giờ.",negative
"Tập đoàn HG bị xử phạt do không tuân thủ quy định về an toàn cháy nổ.",negative
"Doanh nghiệp HH thiếu minh bạch trong báo cáo tác động xã hội.",negative
"Công ty HI trì hoãn kế hoạch giảm phát thải khí nhà kính.",negative
"Tập đoàn HJ bị khách hàng tố cáo sản phẩm gây ô nhiễm.",negative
"Doanh nghiệp HK chưa công bố chỉ số đa dạng giới trong lãnh đạo.",negative
"Công ty HL bị phản ánh về điều kiện làm việc không đạt chuẩn.",negative
"Tập đoàn HM không có chương trình đào tạo về an toàn lao động.",negative
"Doanh nghiệp HN bị phạt vì không xử lý chất thải nguy hại đúng quy định.",negative
"Công ty HO không thực hiện cam kết giảm sử dụng nhựa.",negative
"Tập đoàn HP bị phát hiện gian lận trong báo cáo ESG.",negative
"Doanh nghiệp HQ không hỗ trợ tài chính khi nhân viên gặp khó khăn.",negative
"Công ty HR không công bố thông tin về sử dụng nguồn nước.",negative
"Tập đoàn HS bị đình chỉ dự án do vi phạm quy định môi trường.",negative
"Doanh nghiệp HT không đảm bảo quyền lợi bảo hiểm cho nhân viên.",negative
"Công ty HU bị tố cáo về phân biệt đối xử trong tuyển dụng.",negative
"Tập đoàn HV chưa triển khai chương trình bảo vệ động vật hoang dã.",negative
"Doanh nghiệp HW không công khai quy trình kiểm toán nội bộ.",negative
"Công ty HX không tham gia các hoạt động phát triển cộng đồng.",negative
"Tập đoàn HY bị xử lý vì không tuân thủ quy định về phát thải khí độc.",negative
"Doanh nghiệp HZ tổ chức hội thảo về quản trị ESG.",neutral
"Công ty IA công bố danh sách đối tác trong báo cáo bền vững.",neutral
"Tập đoàn IB tổ chức ngày hội an toàn lao động cho nhân viên.",neutral
"Công ty IC cập nhật số liệu về tiêu thụ điện năng.",neutral
"Doanh nghiệp ID thực hiện khảo sát mức độ hài lòng của khách hàng.",neutral
"Tập đoàn IE lập kế hoạch phát triển ESG cho 5 năm tới.",neutral
"Công ty IF công bố kết quả kiểm toán nội bộ năm 2024.",neutral
"Doanh nghiệp IG thử nghiệm mô hình làm việc linh hoạt.",neutral
"Công ty IH báo cáo tiến độ thực hiện mục tiêu phát triển bền vững.",neutral
"Tập đoàn II tổ chức lớp đào tạo về đạo đức kinh doanh.",neutral
"Doanh nghiệp IJ cập nhật chính sách bảo vệ quyền lợi người tiêu dùng.",neutral
"Công ty IK công bố thông tin về phát triển công nghệ xanh.",neutral
"Công ty IL cung cấp học bổng cho sinh viên nghèo vượt khó.",positive
"Doanh nghiệp IM đạt chứng nhận về tiết kiệm năng lượng quốc tế.",positive
"Tập đoàn IN tổ chức chương trình nâng cao ý thức bảo vệ môi trường tại trường học.",positive
"Công ty IO phát triển sản phẩm sử dụng nguyên liệu tái chế.",positive
"Doanh nghiệp IP đầu tư hệ thống cảnh báo sớm thiên tai cho cộng đồng.",positive
"Tập đoàn IQ hỗ trợ trang thiết bị y tế cho vùng khó khăn.",positive
"Công ty IR tăng thời gian nghỉ phép cho nhân viên chăm sóc gia đình.",positive
"Doanh nghiệp IS xây dựng khu vui chơi miễn phí cho trẻ em.",positive
"Công ty IT phối hợp cùng địa phương tổ chức dọn rác bờ biển.",positive
"Tập đoàn IU cam kết không sử dụng hóa chất độc hại trong sản xuất.",positive
"Doanh nghiệp IV thực hiện khảo sát mức độ hài lòng của cư dân khu vực dự án.",positive
"Công ty IW triển khai hệ thống tái sử dụng nước trong sản xuất.",positive
"Tập đoàn IX mở rộng chương trình đào tạo kỹ năng số cho phụ nữ.",positive
"Công ty IY hỗ trợ thiết bị học tập cho học sinh vùng sâu vùng xa.",positive
"Doanh nghiệp IZ phát động phong trào đi làm bằng xe đạp.",positive
"Công ty JA phát hành báo cáo chi tiết về quản trị rủi ro.",positive
"Tập đoàn JB bổ nhiệm thêm lãnh đạo nữ vào ban điều hành.",positive
"Doanh nghiệp JC công bố chính sách không phân biệt chủng tộc.",positive
"Công ty JD hợp tác với tổ chức bảo vệ động vật hoang dã.",positive
"Tập đoàn JE triển khai chương trình giảm tiêu thụ nhựa dùng một lần.",positive
"Doanh nghiệp JF bị phát hiện không xử lý nước thải đúng quy định.",negative
"Công ty JG bị chỉ trích vì không hỗ trợ nhân viên khi nghỉ thai sản.",negative
"Tập đoàn JH không công khai thông tin về phát thải khí nhà kính.",negative
"Doanh nghiệp JI bị phạt vì xả rác thải công nghiệp ra bên ngoài.",negative
"Công ty JJ trì hoãn thực hiện cam kết bảo vệ môi trường.",negative
"Tập đoàn JK không có chương trình đào tạo phòng chống quấy rối.",negative
"Doanh nghiệp JL bị cáo buộc gian lận trong báo cáo tài chính.",negative
"Công ty JM không hỗ trợ tài chính cho người lao động bị tai nạn.",negative
"Tập đoàn JN thiếu minh bạch trong công bố thông tin ESG.",negative
"Doanh nghiệp JO không đảm bảo an toàn cho công nhân làm ca đêm.",negative
"Công ty JP bị phát hiện sử dụng vật liệu gây hại cho sức khỏe.",negative
"Tập đoàn JQ không tuân thủ quy định về bảo vệ dữ liệu cá nhân.",negative
"Doanh nghiệp JR bị xử phạt do xả thải vượt mức cho phép.",negative
"Công ty JS bị phản ánh điều kiện làm việc không đảm bảo.",negative
"Tập đoàn JT không tham gia các hoạt động xã hội tại địa phương.",negative
"Doanh nghiệp JU bị tố cáo phân biệt đối xử với nhân viên nữ.",negative
"Công ty JV không có chính sách bảo vệ quyền lợi khách hàng.",negative
"Tập đoàn JW bị chỉ trích về việc thiếu hỗ trợ cộng đồng.",negative
"Doanh nghiệp JX không công bố báo cáo phát triển bền vững.",negative
"Công ty JY bị kiện vì lạm dụng lao động trẻ em.",negative
"Tập đoàn JZ không thực hiện kiểm toán độc lập về môi trường.",negative
"Doanh nghiệp KA bị cảnh báo về chất lượng không khí tại nhà máy.",negative
"Công ty KB công bố báo cáo ESG năm 2025.",neutral
"Tập đoàn KC tổ chức hội thảo về bình đẳng giới.",neutral
"Doanh nghiệp KD cập nhật số liệu phát thải hàng quý.",neutral
"Công ty KE lập kế hoạch phát triển bền vững cho 3 năm tới.",neutral
"Tập đoàn KF thực hiện khảo sát về nhận thức môi trường của nhân viên.",neutral
"Doanh nghiệp KG công bố thông tin về tỷ lệ sử dụng năng lượng tái tạo.",neutral
"Công ty KH tổ chức chương trình thảo luận về quản trị doanh nghiệp.",neutral
"Tập đoàn KI cập nhật kết quả giảm phát thải năm vừa qua.",neutral
"Doanh nghiệp KJ phát hành tài liệu hướng dẫn về đạo đức kinh doanh.",neutral
"Công ty KK tiến hành đánh giá rủi ro xã hội cho dự án mới.",neutral
"Tập đoàn KL tổ chức lớp tập huấn về an toàn lao động.",neutral
"Công ty KL phát triển hệ thống thu hồi nước mưa để sử dụng lại.",positive
"Doanh nghiệp KM trao tặng hàng nghìn cây xanh cho trường học địa phương.",positive
"Tập đoàn KN cải thiện chế độ nghỉ dưỡng cho toàn bộ nhân viên.",positive
"Công ty KO đạt chứng nhận quốc tế về trách nhiệm xã hội.",positive
"Doanh nghiệp KP hỗ trợ vốn vay cho doanh nghiệp nhỏ phát triển bền vững.",positive
"Công ty KQ triển khai chương trình dạy nghề miễn phí cho người khuyết tật.",positive
"Tập đoàn KR áp dụng công nghệ xử lý khí thải hiện đại.",positive
"Doanh nghiệp KS tôn vinh các cá nhân tiêu biểu vì môi trường.",positive
"Công ty KT xây dựng khu vui chơi cho trẻ em nghèo tại vùng sâu.",positive
"Tập đoàn KU thúc đẩy bình đẳng giới trong quản lý cấp cao.",positive
"Doanh nghiệp KV phát động chiến dịch tiết kiệm năng lượng toàn hệ thống.",positive
"Công ty KW tổ chức hội chợ việc làm cho người lao động khó khăn.",positive
"Doanh nghiệp KX tài trợ thiết bị y tế cho trạm xá vùng xa.",positive
"Công ty KY đầu tư phát triển công nghệ xử lý chất thải rắn.",positive
"Tập đoàn KZ khuyến khích nhân viên tham gia hoạt động cộng đồng.",positive
"Công ty LA triển khai chính sách nghỉ phép linh hoạt cho nhân viên.",positive
"Doanh nghiệp LB tăng cường công tác đào tạo an toàn lao động.",positive
"Công ty LC thực hiện dự án bảo tồn rừng ngập mặn.",positive
"Tập đoàn LD hợp tác với tổ chức quốc tế về phát triển bền vững.",positive
"Doanh nghiệp LE đạt giải thưởng về đổi mới sáng tạo xanh.",positive
"Công ty LF bị tố cáo không đảm bảo vệ sinh an toàn thực phẩm.",negative
"Tập đoàn LG bị chỉ trích vì thiếu minh bạch trong sử dụng vốn ESG.",negative
"Doanh nghiệp LH bị phạt do không tuân thủ quy định về tiếng ồn.",negative
"Công ty LI không có chương trình phòng chống quấy rối nơi làm việc.",negative
"Tập đoàn LJ bị phát hiện sử dụng vật liệu không thân thiện với môi trường.",negative
"Doanh nghiệp LK không công khai báo cáo tác động xã hội.",negative
"Công ty LL bị khách hàng phản ánh về dịch vụ chăm sóc sức khỏe kém.",negative
"Tập đoàn LM không đảm bảo quyền lợi cho nhân viên hợp đồng.",negative
"Doanh nghiệp LN trì hoãn đóng góp vào quỹ phát triển cộng đồng.",negative
"Công ty LO không có chính sách bảo vệ dữ liệu khách hàng.",negative
"Tập đoàn LP bị phạt do xả nước thải chưa qua xử lý.",negative
